LibRef,Quantity,Designator,Description,Footprint,Comment,MFG,MPN
,,,,,,,
ANT-A-1JB,1,ANT_UFL,,UFL,ANT-A-1JB,Amphenol,A-1JB
CAP0.1uF_0402,3,"C2, C6, C48","CAPACITOR, American symbol",CAP0402,0.1 uF,MURATA,GRM155R61C104KA88D
CAP2.2uF_0603,1,C11,Ceramic Capacitor SMD,CAP0603,2.2 uF,SAMSUNG,CL10A225MQ8NNNC
CAP10nF_0402,1,C39,"CAPACITOR, American symbol",CAP0402,10 nF,MURATA,GRM155R71C103KA01D
CAP10uF_0603,1,C34,Ceramic Capacitor SMD,CAP0603,10 uF,Murata,GRM188R60J106ME84D
CAP15pF_0402,1,C46,"CAPACITOR, American symbol",CAP0402,15 pf,AVX/ELCO,04025A150JAT2A
CAP22uF_0603,3,"C36, C37, C38",Ceramic Capacitor SMD,CAP0603,22 uF,MURATA,GRM188R60J226MEA0D
CAP47pf_0402,5,"C41, C42, C43, C44, C45","CAPACITOR, American symbol",CAP0402,47 pF,AVX,04025A470JAT2A
CAP56pF_0402,1,C40,"CAPACITOR, American symbol",CAP0402,56 pf,KEMET,C0402C560J5GACTU
CAP330uF_1210P,3,"C47, C49, C50",Capacitor,CAP1210POL,330uF,AVX,F950J337MBAAQ2
FerriteBead_220ohm,1,L7,,RES0603,FerriteBead_220ohm,Murata,BLM18AG121SN1D
INDUCTOR_1UH_XFL4020-102MEC,1,L5,,COILCRAFT_XFL4020,1uH,Coilcraft,XFL4020-102MEC
LED_0402_VLMB,1,D1,"LED, Vishay Blue 0402",LED_0402_VISHAY_VLMB,LED_0402_VLMB,VISHAY,VLMB1500-GS08
LED_0402_VLMS,1,D2,"LED, Vishay Red 0402",LED_0402_VISHAY_VLMS,LED_0402_VLMS,VISHAY,VLMS1500-GS08
PESD_14V,3,"D3, D4, D5","DIODE,ZENER VOLTAGE SUPPRESSOR,+/-14V",PESD_0402,PESD_14V,Littlefuse,PESD0402-140
RES1M_0402,1,R13,"Resistor, 1M ohm, 0402 case, 1%",RES0402,1M,YAEGO,RC0402FR-071ML
RES3K_0402,2,"R3, R5","Resistor, 3K ohm, 0402 case, 1%",RES0402,3k,YAEGO,RC0402FR-073KL
RES10K_0402,4,"R4, R6, R7, R8",Resistor,RES0402,10K,YAEGO,RC0402JR-0710KL
RES22R_0402,2,"R1, R2","Resistor, 22 ohm, 0402 case, 1%",RES0402,22,YAEGO,RC0402FR-0722RL
RES100K_0402,2,"R11, R51",Resistor,RES0402,100K,PANASONIC,ERJ-2GEJ104X
RES150K_0402,1,R12,"Res, 150k ohm, 0402 case, 1%",RES0402,150k,YAEGO,RC0402FR-07150KL
RES470R_0402,1,R9,Resistor,RES0402,470,PANASONIC,ERJ-2GEJ471X
SARA-U2XX,1,U16,,SARA,SARA-U2XX,U-BLOX,SARA-U260-00S
SIM_CARD_NANO,1,SIM1,,SIM_CARD_NANO,SIM_CARD_NANO,GLOBAL CONNECTOR TECHNOLOGY,SIM8050-6-0-14-01-A
TPS63020,1,U2,,QFN-14-POWERPAD3X4DSJ,TPS63020,TI,TPS63020DSJ
TSTR_3904_SOT23,4,"Q1, Q2, Q3, Q4","TSTR,NPN 3904, SOT23",SOT23,TSTR_3904_SOT23,ON Semiconductor,MMBT3904LT1G
USB_A_PLUG_MOLEX_0480372200,1,J1,"Connector, USB A, Plug, 0480372200",USB_A_PLUG_MOLEX_0480372200,USB_A_PLUG_MOLEX_0480372200,MOLEX,480372200
