LibRef,Internal PN,Quantity,Designator,Description,Footprint,Comment,MFG,MPN
,,,,,,,,
ANT-A-1JB,CON-0006,1,ANT_UFL,,UFL,ANT-A-1JB,Amphenol,A-1JB
CAP0.1uF_0402,CAP-0004,3,"C2, C6, C48","CAPACITOR, American symbol",CAP0402,0.1 uF,MURATA,GRM155R61C104KA88D
CAP2.2uF_0603,CAP-0002,1,C11,Ceramic Capacitor SMD,CAP0603,2.2 uF,SAMSUNG,CL10A225MQ8NNNC
CAP10nF_0402,CAP-0016,3,"C1, C5, C39","CAPACITOR, American symbol",CAP0402,10 nF,MURATA,GRM155R71C103KA01D
CAP10uF_0603,CAP-0007,1,C34,Ceramic Capacitor SMD,CAP0603,10 uF,Murata,GRM188R60J106ME84D
CAP15pF_0402,CAP-0011,3,"C4, C8, C46","CAPACITOR, American symbol",CAP0402,15 pf,AVX/ELCO,04025A150JAT2A
CAP22uF_0603,CAP-0008,3,"C36, C37, C38",Ceramic Capacitor SMD,CAP0603,22 uF,MURATA,GRM188R60J226MEA0D
CAP47pf_0402,CAP-0010,4,"C41, C42, C44, C45","CAPACITOR, American symbol",CAP0402,47 pF,AVX,04025A470JAT2A
CAP56pF_0402,CAP-0009,3,"C3, C7, C40","CAPACITOR, American symbol",CAP0402,56 pf,KEMET,C0402C560J5GACTU
FerriteBead_120ohm_3A,IND-0005,1,L7,,RES0603,"FerriteBead 120ohm, 3A",Murata,BLM18KG121TN1D
INDUCTOR_1UH_XFL4020-102MEC,IND-0003,1,L5,,COILCRAFT_XFL4020,1uH,Coilcraft,XFL4020-102MEC
LED_0402_VLMB,DIO-0007,1,D1,"LED, Vishay Blue 0402",LED_0402_VISHAY_VLMB,LED_0402_VLMB,VISHAY,VLMB1500-GS08
LED_0402_VLMS,DIO-0008,1,D2,"LED, Vishay Red 0402",LED_0402_VISHAY_VLMS,LED_0402_VLMS,VISHAY,VLMS1500-GS08
PESD_14V,DIO-0009,7,"D3, D4, D5, D6, D7, D8, D9","DIODE,ZENER VOLTAGE SUPPRESSOR,+/-14V",PESD_0402,,Littlefuse,PESD0402-140
RES0R_0402,RES-0021,3,"R1, R2, R52","Resistor, 0 ohm, 0402",RES0402,0,PANASONIC,ERJ-2GE0R00X
RES0R_0603,RES-0020,1,L1,"Resistor, 0 ohm, 0603 case",RES0603,0 ohm,YAEGO,RC0603JR-070RL
RES1M_0402,RES-0014,1,R13,"Resistor, 1M ohm, 0402 case, 1%",RES0402,1M,YAEGO,RC0402FR-071ML
RES3K_0402,RES-0019,2,"R3, R5","Resistor, 3K ohm, 0402 case, 1%",RES0402,3k,YAEGO,RC0402FR-073KL
RES10K_0402,RES-0008,2,"R4, R6","Resistor, 10k ohm, 0402",RES0402,10K,YAEGO,RC0402JR-0710KL
RES150K_0402,RES-0004,1,R12,"Res, 150k ohm, 0402 case, 1%",RES0402,150k,YAEGO,RC0402FR-07150KL
SARA-R4XX,IC-0008,1,U16,"Module, uBlox, SARA-U2xx",SARA,SARA-R4XX,U-BLOX,SARA-R410
SIM_CARD_NANO,CON-0007,1,SIM1,,SIM_CARD_NANO,SIM_CARD_NANO,GLOBAL CONNECTOR TECHNOLOGY,SIM8050-6-0-14-01-A
TPS63020,IC-0013,1,U2,"Regulator, Boost Buck, 3A",QFN-14-POWERPAD3X4DSJ,TPS63020,TI,TPS63020DSJ
TSTR_3904_SOT23,IC-0014,2,"Q1, Q2","TSTR,NPN 3904, SOT23",SOT23,,ON Semiconductor,MMBT3904LT1G
USB_A_PLUG_MOLEX_0480372200,CON-0008,1,J1,"Connector, USB A, Plug, 0480372200",USB_A_PLUG_MOLEX_0480372200 - clipped_copper,USB_A_PLUG_MOLEX_0480372200,MOLEX,480372200
,,,,,,,,
,PKG-0009,1,,PulseLarsen Flat LTE Antenna,,,PULSE,W3907B0100
